9262941951,firdaushoma1@gmail.com,Digital Marketing,33000
9262941952,firdaushoma2@gmail.com,Data science,35000
9262941953,firdaushoma3@gmail.com,Digital Marketing,34000
9262941954,firdaushoma4@gmail.com,Data science,33000
9262941955,firdaushoma5@gmail.com,Data science,25000
9262941956,firdaushoma6@gmail.com,Data science,45000
9262941957,firdaushoma7@gmail.com,Data science,52200
9262941958,firdaushoma8@gmail.com,Data science,54465
9262941959,firdaushoma9@gmail.com,Digital Marketing,85585
9262941910,firdaushoma10@gmail.com,Digital Marketing,54545
9262941911,firdaushoma11@gmail.com,Testing,55555
9262941912,firdaushoma12@gmail.com,Testing,70000
9262941913,firdaushoma13@gmail.com,Testing,95000
9262941914,firdaushoma14@gmail.com,Digital Marketing,20000
9262941915,firdaushoma15@gmail.com,Data science,95500
